id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30038995,Amazing two Floors apartment in Palermo,15466789,Juan,,Palermo,-34.58833,-58.41968,Entire home/apt,8955,7,0,,,55,88
30041142,Big studio in palermo! 10th floor!! beautiful view,222235499,Federico,,Villa Crespo,-34.59334,-58.43415,Entire home/apt,2239,30,0,,,8,365
30042397,Comfortable loft in the heart of Palermo Hollywood,20174177,Daniel,,Palermo,-34.58194,-58.43313,Entire home/apt,2505,7,3,2020-12-12,0.12,7,364
30042701,Cozy,46972596,Mauricio,,Recoleta,-34.58708,-58.40859,Entire home/apt,1035,5,33,2021-01-18,1.20,4,357
30044641,Fancy rooms in shared apartment (Recoleta),224642819,Annika,,Retiro,-34.59874,-58.3797,Private room,1521,7,1,2019-12-26,0.07,6,180
30045493,Mini-Departamento 1 huésped (Tokyo Style),73444249,Víctor,,Villa Crespo,-34.5942,-58.44273,Entire home/apt,895,1,119,2021-02-15,4.30,1,356
30046660,Excelente zona ! Alquíler Temporal Belgrano 4 amb,20227256,Evelyn,,Belgrano,-34.55245,-58.44633,Entire home/apt,5445,3,2,2020-01-16,0.15,1,60
30046766,Recoleta apartment,202831384,Federico,,Recoleta,-34.58656,-58.397,Entire home/apt,2686,6,25,2019-12-11,0.95,2,0
30046976,Habitación simple privada en Buenos aires,15587027,Franco,,Palermo,-34.59709,-58.42413,Private room,1101,2,24,2019-10-06,0.87,3,0
30055348,Departamento en Recoleta,225457286,Viviana,,Recoleta,-34.58748,-58.39344,Entire home/apt,5194,1,62,2020-02-23,2.23,1,365
30056806,Best location in Palermo Soho with amazing view II,26988723,Facundo,,Palermo,-34.58907,-58.4242,Entire home/apt,4026,2,76,2020-11-29,2.76,2,162
30057686,Cálido 2 ambientes Art Deco Retiro/Pza San Martín,130299099,Maria Laura,,San Nicolas,-34.59932,-58.37752,Entire home/apt,2863,3,9,2019-07-29,0.33,1,179
30058533,Habitación Privada en RECOLETA,189120122,Carolina,,Recoleta,-34.58542,-58.39379,Private room,2000,1,0,,,3,365
30059704,"Pieza privada, Buenos Aires, San Cristóbal.",225891692,Lucas Agustín,,San Cristobal,-34.62526,-58.39564,Private room,1163,1,0,,,1,90
30060542,Cozy studio in Recoleta.,190487060,Cora,,Retiro,-34.59289,-58.38407,Entire home/apt,1789,7,68,2020-09-23,2.48,2,147
30062374,Departamento en alquiler temporario en Congreso,225914851,Pablo,,San Nicolas,-34.60727,-58.38934,Entire home/apt,6262,3,1,2018-11-16,0.04,1,179
30062650,Cozy apartment in the best place of Palermo,1725319,Liliana,,Palermo,-34.57906,-58.41145,Entire home/apt,5368,3,3,2018-12-17,0.11,1,365
30062774,Borges Inn,136071581,Maria,,Palermo,-34.58375,-58.42393,Entire home/apt,2955,6,5,2020-01-11,0.22,1,1
30064569,"Estilo Antiguo, calidez y amplitud",225929127,Monse,,Constitucion,-34.61971,-58.39154,Entire home/apt,3131,3,6,2019-11-03,0.23,1,179
30065107,Fliphaus ✔️ Patio & Grill in Palermo Soho!,1021694,Fliphaus,,Palermo,-34.59027,-58.43282,Entire home/apt,7220,1,37,2021-01-10,1.35,54,87
